time;tre200dx;tre200dn;tre200d0;hns000d0;rka150d0;hto000d0
19700202;-;-;-;-;-;35
19700203;-;-;-;-;-;33
19700204;-;-;-;-;-;13
19700205;-;-;-;4;-;13
19700206;-;-;-;-;-;20
19700207;-;-;-;-;-;26
19700208;-;-;-;-;-;35
19700209;-;-;-;6;-;32
19700210;-;-;-;8;-;25
19700211;-;-;-;10;-;34
19700212;-;-;-;-;-;44
19700213;-;-;-;0;-;57
19700214;-;-;-;15;-;51
19700215;-;-;-;3;-;58
19700216;-;-;-;-;-;58
19700217;-;-;-;9;-;53
19700218;-;-;-;-;-;45
19700219;-;-;-;-;-;61
19700220;-;-;-;-;-;74
19700221;-;-;-;-;-;63
19700222;-;-;-;-;-;66
19700223;-;-;-;-;-;57
19700224;-;-;-;23;-;56
19700225;-;-;-;6;-;60
19700226;-;-;-;-;-;87
19700227;-;-;-;-;-;79
19700228;-;-;-;-;-;77
19700301;-;-;-;0;-;72
19700302;-;-;-;15;-;66
19700303;-;-;-;-;-;60
19700304;-;-;-;5;-;72
19700305;-;-;-;13;-;77
19700306;-;-;-;-;-;80
19700307;-;-;-;0;-;80
19700308;-;-;-;8;-;77
19700309;-;-;-;0;-;85
19700310;-;-;-;0;-;88
19700311;-;-;-;0;-;81
19700312;-;-;-;0;-;74
19700313;-;-;-;0;-;71
19700314;-;-;-;-;-;58
19700315;-;-;-;-;-;53
19700316;-;-;-;0;-;50
19700317;-;-;-;-;-;47
19700318;-;-;-;10;-;43
19700319;-;-;-;14;-;40
19700320;-;-;-;0;-;54
19700321;-;-;-;0;-;52
19700322;-;-;-;-;-;51
19700323;-;-;-;-;-;44
19700324;-;-;-;-;-;36
19700325;-;-;-;0;-;27
19700326;-;-;-;-;-;21
19700327;-;-;-;6;-;16
19700328;-;-;-;-;-;18
19700329;-;-;-;-;-;29
19700330;-;-;-;0;-;21
19700331;-;-;-;-;-;18
19700401;-;-;-;12;-;11
19700402;-;-;-;11;-;20
19700403;-;-;-;-;-;30
19700404;-;-;-;7;-;28
19700405;-;-;-;-;-;35
19700406;-;-;-;0;-;42
19700407;-;-;-;6;-;50
19700408;-;-;-;-;-;44
19700409;-;-;-;-;-;53
19700410;-;-;-;-;-;43
19700411;-;-;-;0;-;44
19700412;-;-;-;-;-;36
19700413;-;-;-;-;-;28
19700414;-;-;-;-;-;22
19700415;-;-;-;0;-;33
19700416;-;-;-;0;-;36
19700417;-;-;-;0;-;23
19700418;-;-;-;0;-;13
19700419;-;-;-;-;-;5
19700420;-;-;-;-;-;0
19700421;-;-;-;0;-;-
19700422;-;-;-;0;-;-
19700423;-;-;-;-;-;-
19700424;-;-;-;-;-;-
19700425;-;-;-;-;-;-
19700426;-;-;-;-;-;-
19700427;-;-;-;-;-;-
19700428;-;-;-;-;-;-
19700429;-;-;-;-;-;-
19700430;-;-;-;8;-;-
19700501;-;-;-;-;-;-
19700502;-;-;-;-;-;-
19700503;-;-;-;-;-;-
19700504;-;-;-;0;-;-
19700505;-;-;-;0;-;-
19700506;-;-;-;0;-;-
19700507;-;-;-;0;-;-
19700508;-;-;-;0;-;-
19700509;-;-;-;0;-;-
19700510;-;-;-;-;-;-
19700511;-;-;-;-;-;-
19700512;-;-;-;-;-;-
19700513;-;-;-;-;-;-
19700514;-;-;-;0;-;-
19700515;-;-;-;-;-;-
19700516;-;-;-;-;-;-
19700517;-;-;-;-;-;-
19700518;-;-;-;0;-;-
19700519;-;-;-;0;-;-
19700520;-;-;-;-;-;-
19700521;-;-;-;-;-;-
19700522;-;-;-;-;-;-
19700523;-;-;-;0;-;-
19700524;-;-;-;0;-;-
19700525;-;-;-;-;-;-
19700526;-;-;-;-;-;-
19700527;-;-;-;0;-;-
19700528;-;-;-;0;-;-
19700529;-;-;-;-;-;-
19700530;-;-;-;-;-;-
19700531;-;-;-;-;-;-
19700601;-;-;-;-;-;-
19700602;-;-;-;-;-;-
19700603;-;-;-;-;-;-
19700604;-;-;-;-;-;-
19700605;-;-;-;-;-;-
19700606;-;-;-;-;-;-
19700607;-;-;-;-;-;-
19700608;-;-;-;-;-;-
19700609;-;-;-;-;-;-
19700610;-;-;-;-;-;-
19700611;-;-;-;-;-;-
19700612;-;-;-;-;-;-
19700613;-;-;-;-;-;-
19700614;-;-;-;-;-;-
19700615;-;-;-;-;-;-
19700616;-;-;-;-;-;-
19700617;-;-;-;-;-;-
19700618;-;-;-;-;-;-
19700619;-;-;-;-;-;-
19700620;-;-;-;-;-;-
19700621;-;-;-;-;-;-
19700622;-;-;-;-;-;-
19700623;-;-;-;-;-;-
19700624;-;-;-;-;-;-
19700625;-;-;-;-;-;-
19700626;-;-;-;-;-;-
19700627;-;-;-;-;-;-
19700628;-;-;-;-;-;-
19700629;-;-;-;-;-;-
19700630;-;-;-;-;-;-
19700701;-;-;-;-;-;-
19700702;-;-;-;-;-;-
19700703;-;-;-;-;-;-
19700704;-;-;-;-;-;-
19700705;-;-;-;-;-;-
19700706;-;-;-;-;-;-
19700707;-;-;-;-;-;-
19700708;-;-;-;-;-;-
19700709;-;-;-;-;-;-
19700710;-;-;-;-;-;-
19700711;-;-;-;-;-;-
19700712;-;-;-;-;-;-
19700713;-;-;-;-;-;-
19700714;-;-;-;-;-;-
19700715;-;-;-;-;-;-
19700716;-;-;-;-;-;-
19700717;-;-;-;-;-;-
19700718;-;-;-;-;-;-
19700719;-;-;-;-;-;-
19700720;-;-;-;-;-;-
19700721;-;-;-;-;-;-
19700722;-;-;-;-;-;-
19700723;-;-;-;-;-;-
19700724;-;-;-;-;-;-
19700725;-;-;-;-;-;-
19700726;-;-;-;-;-;-
19700727;-;-;-;-;-;-
19700728;-;-;-;-;-;-
19700729;-;-;-;-;-;-
19700730;-;-;-;-;-;-
19700731;-;-;-;-;-;-
19700801;-;-;-;-;-;-
19700802;-;-;-;-;-;-
19700803;-;-;-;-;-;-
19700804;-;-;-;-;-;-
19700805;-;-;-;-;-;-
