stn;time;tre200dn
ARO;19510126;-8.2
ARO;19510127;-9.0
ARO;19510128;-8.0
ARO;19510129;-8.4
ARO;19510130;-10.1
ARO;19510131;-10.9
ARO;19510201;-9.5
ARO;19510202;-13.7
ARO;19510203;-10.0
ARO;19510204;-8.0
ARO;19510205;-7.5
ARO;19510206;-6.7
ARO;19510207;-7.7
ARO;19510208;-9.5
ARO;19510209;-3.2
ARO;19510210;-0.5
ARO;19510211;-1.2
ARO;19510212;-4.7
ARO;19510213;-5.1
ARO;19510214;-8.1
ARO;19510215;-8.4
ARO;19510216;-10.6
ARO;19510217;-10.6
ARO;19510218;-10.8
ARO;19510219;-10.8
ARO;19510220;-10.6
ARO;19510221;-8.2
ARO;19510222;-9.6
ARO;19510223;-11.0
ARO;19510224;-11.7
ARO;19510225;-8.7
ARO;19510226;-9.6
ARO;19510227;-12.5
ARO;19510228;-12.4
ARO;19510301;-16.5
ARO;19510302;-17.3
ARO;19510303;-16.5
ARO;19510304;-14.5
ARO;19510305;-11.0
ARO;19510306;-9.9
ARO;19510307;-8.6
ARO;19510308;-3.4
ARO;19510309;-6.5
ARO;19510310;-7.5
ARO;19510311;-7.8
ARO;19510312;-7.0
ARO;19510313;-7.4
ARO;19510314;-3.8
ARO;19510315;-6.5
ARO;19510316;-4.3
ARO;19510317;0.2
ARO;19510318;0.1
ARO;19510319;-3.1
ARO;19510320;-4.9
ARO;19510321;-14.7
ARO;19510322;-16.0
ARO;19510323;-6.0
ARO;19510324;-7.6
ARO;19510325;-10.5
ARO;19510326;-13.5
ARO;19510327;-7.1
ARO;19510328;-6.7
ARO;19510329;-8.8
ARO;19510330;-8.6
ARO;19510331;-6.0
ARO;19510401;-9.0
ARO;19510402;-6.2
ARO;19510403;-8.5
ARO;19510404;-8.5
ARO;19510405;-8.3
ARO;19510406;-3.5
ARO;19510407;-2.8
ARO;19510408;-8.9
ARO;19510409;-8.9
ARO;19510410;-4.0
ARO;19510411;-5.8
ARO;19510412;-7.8
ARO;19510413;-9.0
ARO;19510414;-4.1
ARO;19510415;-6.1
ARO;19510416;-5.2
ARO;19510417;-1.0
ARO;19510418;0.0
ARO;19510419;1.0
ARO;19510420;01. Feb
ARO;19510421;0.9
ARO;19510422;-1.0
ARO;19510423;-2.9
ARO;19510424;-1.0
ARO;19510425;0.5
ARO;19510426;01. Jun
ARO;19510427;0.8
ARO;19510428;-2.1
ARO;19510429;-5.9
ARO;19510430;-8.4
ARO;19510501;-4.3
ARO;19510502;-1.7
ARO;19510503;-1.0
ARO;19510504;-2.2
ARO;19510505;-0.7
ARO;19510506;-1.0
ARO;19510507;-1.9
ARO;19510508;0.3
ARO;19510509;-1.0
ARO;19510510;0.5
ARO;19510511;-0.9
ARO;19510512;-1.7
ARO;19510513;-1.9
ARO;19510514;-1.8
ARO;19510515;-2.9
ARO;19510516;-3.4
ARO;19510517;-1.8
ARO;19510518;0.4
ARO;19510519;01. Mrz
ARO;19510520;02. Jun
ARO;19510521;02. Aug
ARO;19510522;01. Aug
ARO;19510523;3.0
ARO;19510524;6.0
ARO;19510525;07. Jul
ARO;19510526;7.0
ARO;19510527;04. Feb
ARO;19510528;01. Jan
ARO;19510529;0.0
ARO;19510530;01. Jul
ARO;19510531;04. Jan
ARO;19510601;3.0
ARO;19510602;02. Apr
ARO;19510603;02. Feb
ARO;19510604;02. Sep
ARO;19510605;02. Aug
ARO;19510606;03. Apr
ARO;19510607;3.0
ARO;19510608;5.0
ARO;19510609;04. Feb
ARO;19510610;02. Jun
ARO;19510611;02. Feb
ARO;19510612;03. Mai
ARO;19510613;06. Aug
ARO;19510614;05. Mai
ARO;19510615;9.0
ARO;19510616;10. Mai
ARO;19510617;08. Mrz
ARO;19510618;08. Mai
ARO;19510619;05. Apr
ARO;19510620;04. Jun
ARO;19510621;05. Mrz
ARO;19510622;8.0
ARO;19510623;03. Apr
ARO;19510624;01. Aug
ARO;19510625;0.2
ARO;19510626;01. Aug
ARO;19510627;2.0
ARO;19510628;03. Mai
ARO;19510629;3.0
ARO;19510630;02. Jun
ARO;19510701;05. Mai
ARO;19510702;03. Feb
ARO;19510703;05. Mai
ARO;19510704;07. Mrz
ARO;19510705;06. Mrz
ARO;19510706;05. Mai
ARO;19510707;05. Mai
ARO;19510708;08. Apr
ARO;19510709;9.0
ARO;19510710;05. Mai
ARO;19510711;8.0
ARO;19510712;08. Jun
ARO;19510713;06. Jun
ARO;19510714;8.0
ARO;19510715;07. Apr
ARO;19510716;05. Apr
ARO;19510717;04. Mai
ARO;19510718;04. Jul
ARO;19510719;5.0
ARO;19510720;07. Mai
ARO;19510721;06. Mai
ARO;19510722;7.0
ARO;19510723;6.0
ARO;19510724;3.0
ARO;19510725;02. Jan
ARO;19510726;02. Jun
ARO;19510727;03. Feb
ARO;19510728;04. Aug
ARO;19510729;07. Mrz
ARO;19510730;10. Mai
ARO;19510731;11. Jun
ARO;19510801;11. Apr
ARO;19510802;09. Jan
ARO;19510803;09. Aug
ARO;19510804;10.0
ARO;19510805;04. Mai
ARO;19510806;06. Feb
ARO;19510807;10. Feb
ARO;19510808;07. Aug
ARO;19510809;05. Mai
ARO;19510810;02. Feb
ARO;19510811;2.0
ARO;19510812;03. Jul
ARO;19510813;06. Mai
ARO;19510814;06. Jun
ARO;19510815;05. Jun
ARO;19510816;04. Mrz
ARO;19510817;02. Feb
ARO;19510818;04. Jun
ARO;19510819;6.0
ARO;19510820;8.0
ARO;19510821;07. Mai
ARO;19510822;04. Jun
ARO;19510823;06. Jan
ARO;19510824;04. Feb
ARO;19510825;06. Feb
ARO;19510826;07. Jun
ARO;19510827;06. Aug
ARO;19510828;06. Apr
ARO;19510829;09. Feb
ARO;19510830;09. Mai
ARO;19510831;04. Jan
ARO;19510901;03. Jan
ARO;19510902;04. Mai
ARO;19510903;05. Mrz
ARO;19510904;01. Jun
ARO;19510905;04. Aug
ARO;19510906;07. Aug
ARO;19510907;09. Jun
ARO;19510908;07. Apr
ARO;19510909;09. Jan
ARO;19510910;08. Mrz
ARO;19510911;08. Aug
ARO;19510912;08. Jul
ARO;19510913;09. Sep
ARO;19510914;08. Mrz
ARO;19510915;07. Mrz
ARO;19510916;08. Jan
ARO;19510917;05. Aug
ARO;19510918;03. Jul
ARO;19510919;01. Mai
ARO;19510920;-1.8
ARO;19510921;0.7
ARO;19510922;03. Mrz
ARO;19510923;05. Jul
ARO;19510924;06. Feb
ARO;19510925;05. Mrz
ARO;19510926;02. Jan
ARO;19510927;1.0
ARO;19510928;01. Apr
ARO;19510929;01. Feb
ARO;19510930;02. Jan
ARO;19511001;03. Jul
ARO;19511002;04. Jun
ARO;19511003;04. Mai
ARO;19511004;02. Sep
ARO;19511005;01. Jan
ARO;19511006;0.7
ARO;19511007;0.7
ARO;19511008;-0.7
ARO;19511009;-3.9
ARO;19511010;-3.2
ARO;19511011;-3.4
ARO;19511012;-3.1
ARO;19511013;-2.8
ARO;19511014;-1.2
ARO;19511015;0.1
ARO;19511016;0.8
ARO;19511017;2.0
ARO;19511018;02. Mai
ARO;19511019;3.0
ARO;19511020;02. Sep
ARO;19511021;03. Sep
ARO;19511022;-0.1
ARO;19511023;-3.3
ARO;19511024;-3.4
